Token;Classificação;Linha
"program";keyword; 1
"teste";identifier; 1
";";delimiter; 1
"var";keyword; 2
"valor1";identifier; 3
":";delimiter; 3
"integer";keyword; 3
";";delimiter; 3
"valor2";identifier; 4
":";delimiter; 4
"real";keyword; 4
";";delimiter; 4
"var4";identifier; 5
":";delimiter; 5
"integer";keyword; 5
";";delimiter; 5
"orr";identifier; 6
":";delimiter; 6
"real";keyword; 6
";";delimiter; 6
"begin";keyword; 7
"valor1";identifier; 8
":=";assignment; 8
"";integer; 8
";";delimiter; 8
"if";keyword; 10
"";integer; 10
"<=";relational operator; 10
"";integer; 10
"or";additive operator; 10
"";integer; 10
"<>";relational operator; 10
"";integer; 10
":";delimiter; 10
"end";keyword; 11
".";delimiter; 11
